installation_type,vessel_name,start_date,end_date,installation time,windfarm_name,,,
turbine,Wind Osprey,3/1/2016 3:11,3/4/2016 0:00,,Gemini,,,
turbine,Wind Osprey,3/8/2016 10:06,3/11/2016 7:51,,Gemini,,,
turbine,Wind Osprey,3/11/2016 11:02,3/12/2016 21:02,,Gemini,,,
turbine,Wind Osprey,3/12/2016 22:04,3/14/2016 2:01,,Gemini,,,
turbine,Wind Osprey,3/14/2016 3:10,3/15/2016 3:00,,Gemini,,,
turbine,Wind Osprey,3/26/2016 20:03,3/31/2016 14:17,,Gemini,,,
turbine,Wind Osprey,3/31/2016 16:02,4/1/2016 16:02,,Gemini,,,
turbine,Wind Osprey,4/1/2016 18:02,4/3/2016 0:00,,Gemini,,,
turbine,Wind Osprey,4/3/2016 1:07,4/4/2016 22:01,,Gemini,,,
turbine,Wind Osprey,4/4/2016 23:02,4/5/2016 22:07,,Gemini,,,
turbine,Wind Osprey,4/5/2016 23:03,4/8/2016 23:03,,Gemini,,,
turbine,Wind Osprey,4/9/2016 2:00,4/10/2016 8:00,,Gemini,,,
turbine,Wind Osprey,4/10/2016 10:01,4/14/2016 9:00,,Gemini,,,
turbine,Wind Osprey,4/22/2016 0:18,4/22/2016 20:20,,Gemini,,,
turbine,Wind Osprey,4/22/2016 22:15,4/26/2016 20:02,,Gemini,,,
turbine,Wind Osprey,4/26/2016 21:03,4/28/2016 12:39,,Gemini,,,
turbine,Wind Osprey,4/28/2016 14:56,5/1/2016 8:29,,Gemini,,,
turbine,Wind Osprey,5/1/2016 10:33,5/2/2016 1:03,,Gemini,,,
turbine,Wind Osprey,5/2/2016 2:04,5/4/2016 1:04,,Gemini,,,
turbine,Wind Osprey,5/4/2016 2:01,5/5/2016 13:16,,Gemini,,,
turbine,Wind Osprey,5/5/2016 16:07,5/6/2016 22:00,,Gemini,,,
turbine,Wind Osprey,5/17/2016 12:02,5/18/2016 11:02,,Gemini,,,
turbine,Wind Osprey,5/18/2016 13:07,5/19/2016 14:08,,Gemini,,,
turbine,Wind Osprey,5/19/2016 15:01,5/21/2016 13:02,,Gemini,,,
turbine,Wind Osprey,5/28/2016 7:00,5/28/2016 22:06,,Gemini,,,
turbine,Wind Osprey,5/28/2016 23:00,5/30/2016 21:08,,Gemini,,,
turbine,Wind Osprey,5/30/2016 22:08,6/1/2016 14:02,,Gemini,,,
turbine,Wind Osprey,6/1/2016 17:14,6/3/2016 15:09,,Gemini,,,
turbine,Wind Osprey,6/3/2016 16:00,6/4/2016 14:00,,Gemini,,,
turbine,Wind Osprey,6/4/2016 16:00,6/4/2016 23:00,,Gemini,,,
turbine,Wind Osprey,6/8/2016 19:00,6/9/2016 15:01,,Gemini,,,
